,TC,IMPORTE,TOTAL MX,TOTAL SAT
1071,1.0,2750.0,3190.0,3190.0
1072,1.0,6699.0,7770.84,7770.84
1073,1.0,58.04,67.33,67.33
1074,1.0,843.98,979.02,979.02
1075,1.0,846.0,981.36,981.36
1076,1.0,0.0,0.0,0.0
1077,1.0,100.22,113.04,113.04
1078,1.0,4999.9,5799.89,5799.89
1079,1.0,2360.46,2738.13,2738.13
1080,1.0,330.01,382.81,382.81
1081,1.0,0.0,0.0,0.0
1082,1.0,0.0,0.0,0.0
1083,1.0,107.13,124.27,124.27
1084,1.0,180.0,202.8,202.8
1085,1.0,0.0,0.0,0.0
1086,1.0,356.5,413.54,413.54
1087,1.0,4539.6,5265.94,5265.94
1088,1.0,6598.23,7258.06,7258.06
1089,1.0,159.05,184.5,184.5
1090,1.0,18075.82,19883.4,19883.4
1091,1.0,21551.72,25000.0,25000.0
1092,1.0,0.0,0.0,0.0
1093,1.0,3000.0,3480.0,3480.0
1094,1.0,1420.77,1648.09,1648.09
1095,1.0,815.02,945.42,945.42
1096,1.0,815.02,945.42,945.42
1097,1.0,336.9,391.93,398.99
1098,1.0,16028.21,17631.03,17631.03
1099,1.0,2846.35,3301.77,3301.77
1100,1.0,0.0,0.0,2917.6
1101,1.0,0.0,0.0,0.0
1102,1.0,8254.41,9575.11,9575.11
1103,1.0,598.0,690.11,690.11
1104,1.0,6665.4,7731.86,7731.86
1105,1.0,6178.2,7166.71,7166.71
1106,1.0,1000.0,1160.0,1160.0
1107,1.0,0.0,0.0,0.0
1108,1.0,1932.69,2248.42,2289.01
1109,1.0,0.0,0.0,0.0
1110,1.0,0.0,0.0,0.0
1111,1.0,0.0,0.0,0.0
1112,1.0,0.0,0.0,0.0
1113,1.0,1767.52,2052.58,2066.75
1114,1.0,539.0,625.24,625.24
1115,1.0,9.9,11.48,11.48
1116,1.0,58.06,67.35,67.35
1117,1.0,0.0,0.0,0.0
1118,1.0,6285.91,6914.51,6914.51
1119,1.0,18075.64,19883.2,19883.2
1120,1.0,250.01,290.0,290.0
1121,1.0,47.66,55.29,55.29
1122,1.0,16028.19,17631.01,17631.01
1123,1.0,823.01,950.11,950.11
1124,1.0,0.0,0.0,0.0
1125,1.0,15000.0,17400.0,17400.0
1126,1.0,105.0,105.0,105.0
1127,1.0,4240.0,4918.4,4918.4
1128,1.0,2025.85,2349.99,2349.99
1129,1.0,2398.0,2723.5,28600.0
1130,1.0,1438.79,1669.0,1669.0
1131,1.0,4038.8,4685.0,4685.0
1132,1.0,240.52,279.0,279.0
1133,1.0,0.0,0.0,0.0
1134,1.0,4310.34,5000.0,5000.0
1135,1.0,4130.0,4790.8,4790.8
1136,1.0,0.0,0.0,0.0
1137,1.0,946.78,1098.27,1098.27
1138,1.0,0.0,0.0,0.0
1139,1.0,200.0,232.0,232.0
1140,1.0,2949.75,2965.71,2965.71
1141,1.0,18.97,22.0,22.0
1142,1.0,0.0,0.0,0.0
1143,1.0,0.0,0.0,0.0
1144,1.0,4100.0,4100.0,4100.0
1145,1.0,490.0,568.4,568.4
1146,1.0,285.0,330.6,330.6
1147,1.0,243.72,269.8,269.8
1148,1.0,0.0,0.0,0.0
1149,1.0,0.0,0.0,0.0
1150,1.0,5344.76,6199.92,6199.92
1151,1.0,5152.17,5976.52,5976.52
1152,1.0,2398.0,2723.5,3027.0
1153,1.0,34.22,39.7,39.7
1154,1.0,0.0,0.0,0.0
1155,1.0,0.0,2723.5,3027.0
1156,1.0,0.0,0.0,0.0
1157,1.0,0.0,0.0,0.0
1158,1.0,0.01,0.01,0.0
1159,1.0,674.62,798.99,798.99
1160,1.0,752.43,899.0,899.0
1161,1.0,674.62,798.99,798.99
1162,1.0,674.62,798.99,798.99
1163,1.0,4310.35,5000.01,5000.01
1164,1.0,2042.97,2247.27,2247.27
1165,1.0,2585.0,2998.6,2998.6
1166,1.0,3990.02,4389.02,4389.02
